Article Link ID,Articles,Name of tournament,Wikipedia link of the Tournament,Header  image ,Short summary of the article,Dates,Format,Champion,Champion Link,Runners Up,Runners Up Link,No of Teams,Host 1,Host 1 Card,Host 2,Host 2 Card,Host 3,Host 3 Card,Tournament year 1,Tournament Year 1 Card,Hosts year 1,Winners Year 1,Winner 1 Card,Runners year 1,Tournament year 2,Tournament Year 2 Card,Hosts year 2,Winners Year 2,Winner Card 2,Runners year 2,Tournament year 3,Tournament Year 3 Card,Hosts year 3,Winners Year 3,Winner Card 3,Runners year 3,Tournament year 4,Tournament Year 4 Card,Hosts year 4,Winners year 4,Winner Card 4,Runners year 4,Tournament year 5,Tournament Year 5 Card,Hosts year 5,Winners year 5,Winner Card 5,Runners year 5,Tournament year 6,Tournament Year 6 Card,Hosts year 6,Winners 6,Winner Card 6,Runners year 6,Tournament year 7,Tournament year 7 Card,Hosts year 7,Winners year 7,Winner Card 7,Runners year 7,Tournament year 8,Tournament year 8 Card,Hosts year 8,Winners year 8,Winner Card 8,Runners year 8,Tournament year 9,Tournament Year 9 Card,Hosts year 9,Winners year 9,Winner Card 9,Runners year 9,Tournament year 10,Tournament Year 10 Card,Hosts year 10,Winners year 10,Winner Card 10,Runners year 10,Tournament year 11,Tournament Year 11 Card,Hosts year 11,Winners year 11,Winner Card 11,Runners  year 11,Tournament year 12,Tournament Year 12 Card,Hosts year 12,Winners  year 12,Winner Card 12,Runners year 12,Man of the series,Link to the player's image,Country,Most runs scored/ Orange cap,Link to player's image ,Country,Most wickets taken/ purple cap,Link to the players image,Country,Champion Card ID,Runner Up Card ID
P15,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2017 Indian Premier League,https://en.wikipedia.org/wiki/2017_Indian_Premier_League,https://en.wikipedia.org/wiki/Indian_Premier_League#/media/File:Indian_Premier_League_Logo.png,"The 2017 season of the Indian Premier League, also known as IPL 10 and branded as Vivo IPL 2017, was the tenth edition of the IPL",14 February–29 March,Twenty20,Mumbai Indians (3rd title),R7,Rising Pune Supergiants,,8,Hyderabad,G13,Bangalore,G1,Delhi,G16,2008,P19,புது டெல்லி,ராஜஸ்தான் ராயல்ஸ் (முதல் டைட்டில்),R11,சென்னை சூப்பர் கிங்ஸ்,2009,P20,தென் ஆப்பிரிக்கா,டெக்கன் சார்ஜர்ஸ் (முதல் டைட்டில்),R12,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2010,P12,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (முதல் டைட்டில்),R5,மும்பை இண்டியன்ஸ்,2011,P13,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (2வது டைட்டில்),R5,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2012,P21,இந்தியா,கொல்கத்தா நைட் ரைடர்ஸ் (முதல் டைட்டில்),R10,சென்னை சூப்பர் கிங்ஸ்,2013,P22,இந்தியா,மும்பை இண்டியன்ஸ் (முதல் டைட்டில்),R7,சென்னை சூப்பர் கிங்ஸ்,2014,P23,"இந்தியா, யுஏஇ",கொல்கத்தா நைட் ரைடர்ஸ் (2வது டைட்டில்),R10,கிங்ஸ் லெவன் பஞ்சாப்,2015,P24,இந்தியா,மும்பை இண்டியன்ஸ் (2வது டைட்டில்),R7,சென்னை சூப்பர் கிங்ஸ்,2016,P14,இந்தியா,சன்ரைசர்ஸ் ஹைதராபாத் (முதல் டைட்டில்),R12,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2017,P15,இந்தியா,மும்பை இண்டியன்ஸ் (3வது டைட்டில்),R7,ரைஸிங் பூனே சூப்பர்ஜெயின்ட்,2018,P25,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (3வது டைட்டில்),R5,சன்ரைசர்ஸ் ஹைதராபாத்,,,,,,,Ben Stokes,https://en.wikipedia.org/wiki/Ben_Stokes#/media/File:BEN_STOKES_(11704837023)_(cropped).jpg,England,David Warner,https://en.wikipedia.org/wiki/David_Warner_(cricketer)#/media/File:DAVID_WARNER_(11704782453).jpg,Australia,Bhuvneshwar Kumar,https://en.wikipedia.org/wiki/Bhuvneshwar_Kumar#/media/File:Bhuvneshwar_Kumar.jpg,India,R7,
P14,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2016 இந்தியன் ப்ரீமியர் லீக்,https://en.wikipedia.org/wiki/2016_Indian_Premier_League,https://commons.wikimedia.org/w/index.php?search=ipl+2016&title=Special%3ASearch&profile=advanced&fulltext=1&advancedSearch-current=%7B%7D&ns0=1&ns6=1&ns12=1&ns14=1&ns100=1&ns106=1#/media/File:DY_Patil_IPL.jpg,"The 2016 season of the Indian Premier League, also known as IPL 9, and branded as Vivo IPL 2016 for sponsorship reasons, was the ninth season of the IPL",9 April–29 May,ட்வென்டி20,சென்னை சூப்பர் கிங்ஸ் (2வது டைட்டில்),R12,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,R6,8,பெங்களூர்,G1,பூனே,SF2,மும்பை,G2,2008,P19,புது டெல்லி,ராஜஸ்தான் ராயல்ஸ் (முதல் டைட்டில்),R11,சென்னை சூப்பர் கிங்ஸ்,2009,P20,தென் ஆப்பிரிக்கா,டெக்கன் சார்ஜர்ஸ் (முதல் டைட்டில்),R12,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2010,P12,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (முதல் டைட்டில்),R5,மும்பை இண்டியன்ஸ்,2011,P13,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (2வது டைட்டில்),R5,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2012,P21,இந்தியா,கொல்கத்தா நைட் ரைடர்ஸ் (முதல் டைட்டில்),R10,சென்னை சூப்பர் கிங்ஸ்,2013,P22,இந்தியா,மும்பை இண்டியன்ஸ் (முதல் டைட்டில்),R7,சென்னை சூப்பர் கிங்ஸ்,2014,P23,"இந்தியா, யுஏஇ",கொல்கத்தா நைட் ரைடர்ஸ் (2வது டைட்டில்),R10,கிங்ஸ் லெவன் பஞ்சாப்,2015,P24,இந்தியா,மும்பை இண்டியன்ஸ் (2வது டைட்டில்),R7,சென்னை சூப்பர் கிங்ஸ்,2016,P14,இந்தியா,சன்ரைசர்ஸ் ஹைதராபாத் (முதல் டைட்டில்),R12,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2017,P15,இந்தியா,மும்பை இண்டியன்ஸ் (3வது டைட்டில்),R7,ரைஸிங் பூனே சூப்பர்ஜெயின்ட்,2018,P25,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (3வது டைட்டில்),R5,சன்ரைசர்ஸ் ஹைதராபாத்,,,,,,,விராட் கோலி,https://en.wikipedia.org/wiki/Virat_Kohli#/media/File:Virat..Kohli.jpg,இந்தியா,விராட் கோலி,https://en.wikipedia.org/wiki/Virat_Kohli,இந்தியா,புவனேஸ்வர் குமார்,https://en.wikipedia.org/wiki/Bhuvneshwar_Kumar,இந்தியா,R12,R6
P13,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2011 இந்தியன் ப்ரீமியர் லீக்,https://en.wikipedia.org/wiki/2011_Indian_Premier_League,https://upload.wikimedia.org/wikipedia/commons/8/88/Ma_ChidambaramStadium_panaroma.jpg,"The 2011 Indian Premier League season, abbreviated as IPL 4 or the IPL 2011, was the fourth season of the Indian Premier League, the top Twenty20 cricket league in India",8 April – 28 May,ட்வென்டி20,சென்னை சூப்பர் கிங்ஸ் (முதல் டைட்டில்),R5,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,R6,10,சென்னை,G11,மும்பை,G2,கொச்சின்,,2008,P19,புது டெல்லி,ராஜஸ்தான் ராயல்ஸ் (முதல் டைட்டில்),R11,சென்னை சூப்பர் கிங்ஸ்,2009,P20,தென் ஆப்பிரிக்கா,டெக்கன் சார்ஜர்ஸ் (முதல் டைட்டில்),R12,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2010,P12,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (முதல் டைட்டில்),R5,மும்பை இண்டியன்ஸ்,2011,P13,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (2வது டைட்டில்),R5,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2012,P21,இந்தியா,கொல்கத்தா நைட் ரைடர்ஸ் (முதல் டைட்டில்),R10,சென்னை சூப்பர் கிங்ஸ்,2013,P22,இந்தியா,மும்பை இண்டியன்ஸ் (முதல் டைட்டில்),R7,சென்னை சூப்பர் கிங்ஸ்,2014,P23,"இந்தியா, யுஏஇ",கொல்கத்தா நைட் ரைடர்ஸ் (2வது டைட்டில்),R10,கிங்ஸ் லெவன் பஞ்சாப்,2015,P24,இந்தியா,மும்பை இண்டியன்ஸ் (2வது டைட்டில்),R7,சென்னை சூப்பர் கிங்ஸ்,2016,P14,இந்தியா,சன்ரைசர்ஸ் ஹைதராபாத் (முதல் டைட்டில்),R12,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2017,P15,இந்தியா,மும்பை இண்டியன்ஸ் (3வது டைட்டில்),R7,ரைஸிங் பூனே சூப்பர்ஜெயின்ட்,2018,P25,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (3வது டைட்டில்),R5,சன்ரைசர்ஸ் ஹைதராபாத்,,,,,,,கிரிஸ் கெயில்,https://en.wikipedia.org/wiki/Chris_Gayle#/media/File:ChrisGayle_Cropped.jpg,இந்தியா,கிரிஸ் கெயில்,https://en.wikipedia.org/wiki/Chris_Gayle,ஜமைக்கா,லசித் மலிங்கா,https://en.wikipedia.org/wiki/Lasith_Malinga,ஸ்ரீலங்கா,R5,R6
P12,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2010 இந்தியன் ப்ரீமியர் லீக்,https://en.wikipedia.org/wiki/2010_Indian_Premier_League,https://en.wikipedia.org/wiki/Chennai_Super_Kings#/media/File:IPL_T20_Chennai_vs_Kolkata.JPG,"The 2010 Indian Premier League season, abbreviated as IPL 3 or the 2010 IPL, was the third season of the Indian Premier League",12 March –25 April,டபுள் ரவுண்ட்-ராபின் அண்ட் நாக்கவுட்,ஆஸ்திரேலியா (5வது டைட்டில்),R5,மும்பை இண்டியன்ஸ்,R7,8,நாக்பூர்,SF1,கட்டாக்,,மும்பை,G2,2008,P19,புது டெல்லி,ராஜஸ்தான் ராயல்ஸ் (முதல் டைட்டில்),R11,சென்னை சூப்பர் கிங்ஸ்,2009,P20,தென் ஆப்பிரிக்கா,டெக்கன் சார்ஜர்ஸ் (முதல் டைட்டில்),R12,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2010,P12,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (முதல் டைட்டில்),R5,மும்பை இண்டியன்ஸ்,2011,P13,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (2வது டைட்டில்),R5,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2012,P21,இந்தியா,கொல்கத்தா நைட் ரைடர்ஸ் (முதல் டைட்டில்),R10,சென்னை சூப்பர் கிங்ஸ்,2013,P22,இந்தியா,மும்பை இண்டியன்ஸ் (முதல் டைட்டில்),R7,சென்னை சூப்பர் கிங்ஸ்,2014,P23,"இந்தியா, யுஏஇ",கொல்கத்தா நைட் ரைடர்ஸ் (2வது டைட்டில்),R10,கிங்ஸ் லெவன் பஞ்சாப்,2015,P24,இந்தியா,மும்பை இண்டியன்ஸ் (2வது டைட்டில்),R7,சென்னை சூப்பர் கிங்ஸ்,2016,P14,இந்தியா,சன்ரைசர்ஸ் ஹைதராபாத் (முதல் டைட்டில்),R12,ராயல் சேலஞ்சர்ஸ் பெங்களூர்,2017,P15,இந்தியா,மும்பை இண்டியன்ஸ் (3வது டைட்டில்),R7,ரைஸிங் பூனே சூப்பர்ஜெயின்ட்,2018,P25,இந்தியா,சென்னை சூப்பர் கிங்ஸ் (3வது டைட்டில்),R5,சன்ரைசர்ஸ் ஹைதராபாத்,,,,,,,லசித் மலிங்கா,https://en.wikipedia.org/wiki/Lasith_Malinga#/media/File:LASITH_MALINGA_(5155175549).jpg,ஸ்ரீலங்கா,சச்சின் டெண்டுல்கர்,https://en.wikipedia.org/wiki/Sachin_Tendulkar#/media/File:Sachin_Tendulkar_at_MRF_Promotion_Event.jpg,இந்தியா,பிரக்யான் ஓஜா,https://en.wikipedia.org/wiki/Pragyan_Ojha#/media/File:PragyanOjha_.jpg,இந்தியா,R5,R7
P8,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2015 கிரிக்கெட் உலகக் கோப்பை,https://ta.wikipedia.org/wiki/2015_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D,https://en.wikipedia.org/wiki/2015_Cricket_World_Cup#/media/File:2015_Cricket_World_Cup_Logo.svg,"The 2015 ICC Cricket World Cup was the 11th Cricket World Cup, jointly hosted by Australia and New Zealand",14 February–29 March,ஒன் டே இன்டர்நேஷனல்,இந்தியா (2வது டைட்டில்),R2,நியூசிலாந்து,R15,14,ஆஸ்திரேலியா,G4,நியூசிலாந்து,G8,,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,"England, Wales",,,,மிட்செல் ஸ்டார்க்,https://en.wikipedia.org/wiki/Mitchell_Starc#/media/File:Mitchell_Starc.jpg,ஆஸ்திரேலியா,மார்ட்டின் குப்தில்,https://en.wikipedia.org/wiki/Martin_Guptill#/media/File:Martin_Guptill_2_(cropped).jpg,நியூசிலாந்து,"மிட்செல் ஸ்டார்க், டிரென்ட் போல்ட்","https://en.wikipedia.org/wiki/Mitchell_Starc#/media/File:Mitchell_Starc.jpg; https://en.wikipedia.org/wiki/Trent_Boult#/media/File:2018.02.03.22.23.14-AUSvNZL_T20_AUS_innings,_SCG_(39533156665).jpg",நியூசிலாந்து,R2,R15
P7,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2011 கிரிக்கெட் உலகக் கோப்பை,https://ta.wikipedia.org/wiki/2011_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%8B%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%88,https://en.wikipedia.org/wiki/2011_Cricket_World_Cup#/media/File:2011_Cricket_World_Cup_Logo.svg,"The 2011 ICC Cricket World Cup was the tenth Cricket World Cup. It was played in India, Sri Lanka, and (for the first time) Bangladesh",19 February–2 April,ஒன் டே இன்டர்நேஷனல்,ஆஸ்திரேலியா (4வது டைட்டில்),R1,ஸ்ரீலங்கா,R13,14,இந்தியா,G3,ஸ்ரீலங்கா,G7,பங்களாதேஷ்,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,யுவராஜ் சிங்,https://en.wikipedia.org/wiki/Yuvraj_Singh#/media/File:Yuvraj_Singh_appointed_as_Ulysse_Nardin_watch_brand_ambassador.jpeg,இந்தியா,திலகரத்ன தில்சான்,https://en.wikipedia.org/wiki/Tillakaratne_Dilshan#/media/File:Tillakaratne_Dilshan_portrait.jpg,ஸ்ரீலங்கா,"ஜாஹீர் கான், சாகித் அஃபிரிடி",https://en.wikipedia.org/wiki/Zaheer_Khan#/media/File:Zaheer_khan_72.jpg; https://en.wikipedia.org/wiki/Shahid_Afridi#/media/File:Shahid_Afridi_in_2017.jpg,"இந்தியா, பாகிஸ்தான்",R1,R13
P6,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2007 கிரிக்கெட் உலகக் கோப்பை,https://ta.wikipedia.org/wiki/2007_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D,https://en.wikipedia.org/wiki/2007_Cricket_World_Cup#/media/File:2007_Cricket_World_Cup_logo.svg,2007 का क्रिकेट विश्व कप (जिसे आधिकारिक तौर पर आईसीसी क्रिकेट विश्व कप 2007 के रूप में जाना जाता है) क्रिकेट विश्व कप टूर्नामेंट का 9वां संस्करण था जो एक दिवसीय अंतर्राष्ट्रीय (वनडे) प्रारूप में 13 मार्च से 28 अप्रैल 2007 तक वेस्टइंडीज में आयोजित हुआ था।,13 March–28 April,ஒன் டே இன்டர்நேஷனல்,ஆஸ்திரேலியா (3வது டைட்டில்),R2,ஸ்ரீலங்கா,R13,16,வெஸ்ட் இண்டீஸ்,SF98,,,,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,கிளென் மெக்ராத்,"https://en.wikipedia.org/wiki/Glenn_McGrath#/media/File:Glenn_McGrath_in_Circular_Quay,_Sydney,_Australia,_2018-02-03.jpg",ஆஸ்திரேலியா,மேத்யூ ஹெய்டன்,https://en.wikipedia.org/wiki/Matthew_Hayden#/media/File:Matt_Hayden.jpg,ஆஸ்திரேலியா,கிளென் மெக்ராத்,"https://en.wikipedia.org/wiki/Glenn_McGrath#/media/File:Glenn_McGrath_in_Circular_Quay,_Sydney,_Australia,_2018-02-03.jpg",ஆஸ்திரேலியா,R2,R13
P5,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",2003 கிரிக்கெட் உலகக் கோப்பை,https://en.wikipedia.org/wiki/2003_Cricket_World_Cup,https://en.wikipedia.org/wiki/2003_Cricket_World_Cup#/media/File:Cricket_World_Cup_Logo_2003.svg,"2003 का क्रिकेट विश्व कप आठवां क्रिकेट विश्व कप था, जिसे अंतर्राष्ट्रीय क्रिकेट परिषद (आईसीसी) ने आयोजित किया था। इसकी मेजबानी दक्षिण अफ्रीका, जिम्बाब्वे और केन्या ने मिल कर की थी।",9 February–23 March,ஒன் டே இன்டர்நேஷனல்,ஆஸ்திரேலியா (2வது டைட்டில்),R2,இந்தியா,R1,14,தென் ஆப்பிரிக்கா,G6,ஜிம்பாப்வே,,கென்யா,,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,சச்சின் டெண்டுல்கர்,https://en.wikipedia.org/wiki/Sachin_Tendulkar#/media/File:Sachin_Tendulkar_at_MRF_Promotion_Event.jpg,இந்தியா,சச்சின் டெண்டுல்கர்,https://en.wikipedia.org/wiki/Sachin_Tendulkar#/media/File:Sachin_Tendulkar_at_MRF_Promotion_Event.jpg,இந்தியா,சமிந்த வாஸ்,https://en.wikipedia.org/wiki/Chaminda_Vaas#/media/File:Chaminda_Vaas.jpg,ஸ்ரீலங்கா,R2,R1
P4,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",1999 கிரிக்கெட் உலகக் கோப்பை,https://ta.wikipedia.org/wiki/1999_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D,https://en.wikipedia.org/wiki/1999_Cricket_World_Cup#/media/File:Wc99.png,"1999 का क्रिकेट विश्व कप क्रिकेट विश्व कप का सातवां संस्करण था, जिसे अंतर्राष्ट्रीय क्रिकेट परिषद (आईसीसी) ने आयोजित किया था। इसकी मेज़बानी मुख्य रूप से इंग्लैंड ने की थी, जिसमें कुछ मैच स्कॉटलैंड, आयरलैंड, वेल्स और नीदरलैंड में भी खेले गए थे।",14 May–20 June,ஒன் டே இன்டர்நேஷனல்,ஸ்ரீலங்கா (முதல் டைட்டில்),R2,பாகிஸ்தான்,R8,12,இங்கிலாந்து,G10,ஸ்காட்லாந்து,,"அயர்லாந்து, நெதர்லாந்து, வேல்ஸ்",,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,லான்ஸ் குளுசுனர்,,தென் ஆப்பிரிக்கா,ராகுல் டிராவிட்,https://en.wikipedia.org/wiki/Rahul_Dravid#/media/File:Rahul_Dravid_at_GQ_Men_Of_The_Year_2012_AWARD.jpg,இந்தியா,ஜியாஃப் ஆல்லாட்; ஷேன் வார்னெ,https://en.wikipedia.org/wiki/Shane_Warne#/media/File:Shane_Warne_February_2015.jpg,நியூசிலாந்து; ஆஸ்திரேலியா,R2,R8
P3,"Individual tournament (like IPL 2017, 16, 15, World Cup 2011,15,09... etc)",1996 கிரிக்கெட் உலகக் கோப்பை,https://ta.wikipedia.org/wiki/1996_%E0%AE%A4%E0%AF%81%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F_%E0%AE%89%E0%AE%B2%E0%AE%95%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D,https://en.wikipedia.org/wiki/1996_Cricket_World_Cup#/media/File:Wills_World_Cup_1996.svg,"1996 क्रिकेट विश्व कप, जिसे उसके आधिकारिक प्रायोजकों (आईटीसी के विल्स ब्रांड) के नाम पर, विल्स वर्ल्ड कप 1996 भी कहा जाता है, छठा क्रिकेट विश्व कप था। यह पाकिस्तान और भारत द्वारा आयोजित होने वाला दूसरा, और श्रीलंका आयोजित होने वाला पहला विश्व कप था।",14 February–17 March,ஒன் டே இன்டர்நேஷனல்,இந்தியா (முதல் டைட்டில்),R13,ஆஸ்திரேலியா,R2,12,இந்தியா,G3,பாகிஸ்தான்,G5,ஸ்ரீலங்கா,G7,1975,P26,England,West Indies (1st title),R3,Australia,1979,P27,England,West Indies (2nd title),R3,England,1983,P2,"England, Wales",India (1st title),R1,West Indies,1987,P16,"India, Pakistan",Australia (1st title),R2,England,1992,P17,"Australia, New Zealand",Pakistan (1st title),R8,England,1996,P3,"India, Pakistan, Sri Lanka",Sri Lanka (1st title),R13,Australia,1999,P4,"England, Scotland, Ireland, Netherlands, Wales",Australia (2nd title),R2,Pakistan,2003,P5,"South Africa, Zimbabwe, Kenya",Australia (3rd title),R2,India,2007,P6,West Indies,Australia (4th title),R2,Sri Lanka,2011,P7,"India, Sri Lanka, Bangladesh",India (2nd title),R1,Sri Lanka,2015,P8,"Australia, New Zealand",Australia (5th title),R2,New Zealand,2019,P18,,,,,சனத் ஜெயசூர்யா,https://en.wikipedia.org/wiki/Sanath_Jayasuriya#/media/File:Sanath_jayasuriya_portrait.jpg,ஸ்ரீலங்கா,சச்சின் டெண்டுல்கர்,https://en.wikipedia.org/wiki/Sachin_Tendulkar#/media/File:Sachin_Tendulkar_at_MRF_Promotion_Event.jpg,இந்தியா,அனில் கும்ப்ளே,https://en.wikipedia.org/wiki/Anil_Kumble,இந்தியா,R13,R2
